Sample_ID,Participant,Bottle_ID,Incubation,pH,Redox,Carbon,PFAS,Time,PFOA,diPAP,monoPAP ,FTOH,PFHxA,PFOA_Norm,diPAP_Norm
B8F26,A,Bottle_26,Abiotic,7,Aerobic,lactose,No,8,NA,NA,NA,0,NA,NA,NA
B8F27,A,Bottle_27,Abiotic,2,Aerobic,glucose,No,8,NA,NA,NA,0,NA,NA,NA
B8F28,A,Bottle_28,Abiotic,7,Aerobic,glucose,No,8,NA,NA,NA,0,NA,NA,NA
B8F29,A,Bottle_29,Abiotic,2,Anaerobic,lactose,No,8,NA,NA,NA,0,NA,NA,NA
B8F30,A,Bottle_30,Abiotic,7,Anaerobic,lactose,No,8,NA,NA,NA,0,NA,NA,NA
B8F31,A,Bottle_31,Abiotic,2,Anaerobic,glucose,No,8,NA,NA,NA,0,NA,NA,NA
B8F32,A,Bottle_32,Abiotic,7,Anaerobic,glucose,No,8,NA,NA,NA,0,NA,NA,NA
B24F17,A,Bottle_17,Abiotic,2,Aerobic,lactose,Yes,24,2818.409373,1108.021325,25.54183552,0,0,93.9469791,36.93404418
B24F18,A,Bottle_18,Abiotic,7,Aerobic,lactose,Yes,24,3444.682503,3101.645802,26.14389154,0,3.538731956,114.8227501,103.3881934
B24F19,A,Bottle_19,Abiotic,2,Aerobic,glucose,Yes,24,2694.445432,1107.58212,27.98805125,0,0,89.81484772,36.919404
B24F20,A,Bottle_20,Abiotic,7,Aerobic,glucose,Yes,24,NA,NA,NA,NA,NA,NA,NA
B24F21,A,Bottle_21,Abiotic,2,Anaerobic,lactose,Yes,24,2996.310413,233.0623337,25.24380215,0,2.333269734,99.87701377,7.768744456
B24F22,A,Bottle_22,Abiotic,7,Anaerobic,lactose,Yes,24,3244.228359,2749.72779,27.5273242,0,0,108.1409453,91.65759301
B24F23,A,Bottle_23,Abiotic,2,Anaerobic,glucose,Yes,24,3161.01124,236.006292,25.19669249,0,3.125709516,105.3670413,7.866876399
B24F24,A,Bottle_24,Abiotic,7,Anaerobic,glucose,Yes,24,3162.28089,4378.520083,28.72008343,0,2.94403513,105.409363,145.9506694
B24F25,A,Bottle_25,Abiotic,2,Aerobic,lactose,No,24,1.867134051,0,0,0,0,NA,NA
B24F26,A,Bottle_26,Abiotic,7,Aerobic,lactose,No,24,NA,NA,NA,NA,NA,NA,NA
B24F27,A,Bottle_27,Abiotic,2,Aerobic,glucose,No,24,9.449255273,0,0,0,0,NA,NA
B24F28,A,Bottle_28,Abiotic,7,Aerobic,glucose,No,24,0,0,0,0,0,NA,NA
B24F29,A,Bottle_29,Abiotic,2,Anaerobic,lactose,No,24,0,0,0,0,0,NA,NA
B24F30,A,Bottle_30,Abiotic,7,Anaerobic,lactose,No,24,0,0,0,0,0,NA,NA
B24F31,A,Bottle_31,Abiotic,2,Anaerobic,glucose,No,24,0,0,0,0,0,NA,NA
B24F32,A,Bottle_32,Abiotic,7,Anaerobic,glucose,No,72,7.045288116,0,0,0,2.100727286,NA,NA
B72F17,A,Bottle_17,Abiotic,2,Aerobic,lactose,Yes,72,NA,NA,NA,0,NA,NA,NA
B72F18,A,Bottle_18,Abiotic,7,Aerobic,lactose,Yes,72,NA,NA,NA,0,NA,NA,NA
B72F19,A,Bottle_19,Abiotic,2,Aerobic,glucose,Yes,72,NA,NA,NA,0,NA,NA,NA
